Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
July-13,Saturn,"770 ","700 ","644 ","644 ","532 ","532 ","476 ","420 ","448 ","448 ","420 ","406 ","406 ","392 ","392 ","378 ","280 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"768 ","684 ","636 ","588 ","552 ","504 ","480 ","456 ","432 ","444 ","480 ","480 ","456 ","432 ","420 ","384 ","372 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"913 ","847 ","803 ","803 ","781 ","759 ","693 ","594 ","539 ","528 ","473 ","495 ","484 ","451 ","440 ","396 ","396 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"1,469 ","1,365 ","1,313 ","1,261 ","1,222 ","1,157 ","1,079 ","962 ","936 ","936 ","871 ","832 ","819 ","845 ","780 ","767 ","728 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"26 ","26 ","26 ","26 ","26 ","26 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"45 ","45 ","30 ","30 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"242 ","198 ","187 ","165 ","176 ","154 ","132 ","121 ","88 ","99 ","99 ","110 ","132 ","110 ","88 ","77 ","77 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"390 ","345 ","345 ","330 ","300 ","285 ","285 ","270 ","255 ","255 ","270 ","225 ","210 ","225 ","225 ","165 ","165 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"378 ","324 ","324 ","270 ","306 ","288 ","279 ","279 ","261 ","243 ","243 ","243 ","216 ","207 ","216 ","180 ","171 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"826 ","742 ","714 ","672 ","616 ","588 ","560 ","574 ","518 ","504 ","518 ","490 ","490 ","490 ","490 ","434 ","434 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"55 ","55 ","55 ","55 ","44 ","44 ","55 ","55 ","55 ","55 ","55 ","44 ","44 ","33 ","44 ","44 ","33 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"495 ","405 ","360 ","300 ","300 ","315 ","270 ","270 ","285 ","255 ","285 ","225 ","255 ","270 ","270 ","225 ","255 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"312 ","252 ","192 ","216 ","204 ","192 ","192 ","168 ","144 ","132 ","144 ","144 ","144 ","132 ","144 ","132 ","132 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"306 ","252 ","261 ","243 ","234 ","243 ","234 ","216 ","207 ","171 ","162 ","171 ","153 ","153 ","135 ","126 ","135 ","0 ","0 ","0 ","0 ","0 ","0 "
July-13,Saturn,"639 ","603 ","549 ","567 ","549 ","540 ","531 ","495 ","459 ","450 ","423 ","414 ","414 ","396 ","387 ","351 ","324 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"31,276 ","27,818 ","25,928 ","25,536 ","24,696 ","23,996 ","23,464 ","22,694 ","22,008 ","21,182 ","20,678 ","20,076 ","19,474 ","18,844 ","18,298 ","17,766 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"795 ","675 ","615 ","555 ","510 ","540 ","540 ","540 ","510 ","420 ","390 ","390 ","330 ","330 ","300 ","285 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"90 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"26 ","13 ","26 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"1,862 ","1,694 ","1,582 ","1,512 ","1,428 ","1,442 ","1,330 ","1,400 ","1,400 ","1,316 ","1,288 ","1,148 ","1,106 ","1,148 ","1,022 ","1,092 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Venus,"13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"135,135 ","118,215 ","107,025 ","103,140 ","98,370 ","94,590 ","91,455 ","87,495 ","84,390 ","81,480 ","79,500 ","77,115 ","76,110 ","73,575 ","69,690 ","67,890 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"20,640 ","18,285 ","16,530 ","15,675 ","14,760 ","14,220 ","13,545 ","12,915 ","12,240 ","11,565 ","11,175 ","10,860 ","10,800 ","10,470 ","9,930 ","9,645 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"72 ","72 ","60 ","48 ","48 ","36 ","48 ","48 ","36 ","36 ","24 ","24 ","36 ","36 ","36 ","24 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"481 ","429 ","351 ","351 ","325 ","338 ","325 ","273 ","273 ","273 ","273 ","273 ","273 ","208 ","234 ","234 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"90 ","90 ","60 ","50 ","50 ","40 ","60 ","60 ","60 ","50 ","30 ","30 ","40 ","40 ","40 ","30 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"4,810 ","4,800 ","4,800 ","3,830 ","3,360 ","3,300 ","3,110 ","3,050 ","3,020 ","2,910 ","3,010 ","2,950 ","2,820 ","2,850 ","2,640 ","2,580 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Earth,"14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"34,200 ","27,150 ","24,555 ","23,145 ","21,690 ","20,670 ","20,070 ","19,080 ","17,655 ","17,130 ","16,755 ","15,975 ","15,180 ","14,880 ","13,965 ","13,680 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"1,036 ","644 ","518 ","490 ","448 ","406 ","378 ","350 ","336 ","308 ","280 ","294 ","266 ","252 ","238 ","252 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"18 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"1,323 ","963 ","999 ","936 ","837 ","828 ","738 ","756 ","711 ","729 ","675 ","630 ","594 ","585 ","585 ","549 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Mars,"11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Jupiter,"27,552 ","23,044 ","21,028 ","20,706 ","19,558 ","19,152 ","17,878 ","17,430 ","16,492 ","16,296 ","15,610 ","14,644 ","14,364 ","13,608 ","13,104 ","12,754 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Jupiter,"658 ","546 ","448 ","420 ","350 ","378 ","350 ","308 ","280 ","266 ","280 ","266 ","252 ","210 ","224 ","224 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"396 ","384 ","336 ","324 ","324 ","312 ","312 ","300 ","288 ","252 ","276 ","264 ","276 ","288 ","252 ","252 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"42 ","28 ","28 ","14 ","14 ","28 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"3,324 ","3,132 ","2,808 ","2,604 ","2,532 ","2,412 ","2,292 ","2,148 ","1,848 ","1,308 ","1,368 ","1,356 ","1,344 ","1,284 ","1,248 ","1,212 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"621 ","522 ","495 ","450 ","450 ","414 ","405 ","387 ","378 ","351 ","342 ","342 ","324 ","324 ","324 ","306 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"2,044 ","1,694 ","1,666 ","1,442 ","1,386 ","1,274 ","1,232 ","1,190 ","1,078 ","1,008 ","1,050 ","966 ","938 ","1,008 ","938 ","938 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"45 ","45 ","45 ","45 ","45 ","45 ","45 ","45 ","36 ","36 ","36 ","36 ","27 ","36 ","36 ","36 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"2,540 ","2,150 ","1,950 ","1,810 ","1,730 ","1,760 ","1,700 ","1,670 ","1,600 ","1,490 ","1,590 ","1,580 ","1,550 ","1,530 ","1,470 ","1,440 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"28 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"110 ","77 ","77 ","77 ","88 ","66 ","55 ","66 ","55 ","33 ","44 ","44 ","33 ","44 ","44 ","44 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"24 ","24 ","24 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","15 ","30 ","30 ","15 ","30 ","30 ","15 ","30 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"130 ","91 ","65 ","65 ","78 ","78 ","91 ","65 ","65 ","78 ","78 ","78 ","65 ","65 ","65 ","78 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"7,875 ","6,585 ","6,165 ","5,790 ","5,505 ","5,175 ","4,890 ","4,935 ","4,635 ","4,485 ","4,410 ","4,305 ","4,230 ","4,080 ","3,840 ","3,900 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"1,540 ","1,400 ","1,274 ","1,246 ","1,162 ","1,078 ","1,036 ","1,008 ","924 ","910 ","868 ","826 ","826 ","742 ","672 ","686 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"135 ","90 ","45 ","60 ","90 ","60 ","60 ","90 ","45 ","60 ","75 ","75 ","60 ","45 ","60 ","45 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"5,456 ","5,071 ","4,807 ","4,510 ","4,301 ","4,202 ","4,136 ","3,993 ","3,795 ","3,586 ","3,476 ","3,311 ","3,245 ","3,113 ","2,970 ","2,750 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"11,253 ","10,032 ","9,405 ","8,503 ","8,250 ","7,865 ","7,326 ","6,842 ","6,402 ","5,907 ","5,808 ","5,632 ","5,258 ","5,115 ","4,862 ","4,708 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"460 ","340 ","350 ","320 ","300 ","290 ","270 ","260 ","210 ","230 ","210 ","210 ","160 ","190 ","170 ","170 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"52 ","26 ","26 ","26 ","26 ","39 ","26 ","26 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"918 ","765 ","684 ","594 ","558 ","540 ","468 ","450 ","477 ","432 ","414 ","432 ","432 ","432 ","441 ","423 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"12,506 ","10,465 ","9,516 ","8,892 ","8,307 ","7,839 ","7,514 ","7,449 ","7,020 ","6,799 ","6,539 ","6,253 ","6,084 ","5,863 ","5,564 ","5,317 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"405 ","261 ","261 ","243 ","225 ","198 ","189 ","180 ","180 ","189 ","189 ","180 ","180 ","162 ","180 ","153 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"88 ","77 ","77 ","77 ","66 ","66 ","55 ","66 ","77 ","66 ","66 ","44 ","55 ","55 ","44 ","44 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"50 ","50 ","30 ","40 ","40 ","40 ","40 ","40 ","40 ","30 ","30 ","20 ","20 ","10 ","20 ","20 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"459 ","432 ","387 ","351 ","324 ","315 ","315 ","315 ","297 ","297 ","279 ","261 ","234 ","225 ","198 ","189 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"39 ","39 ","39 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"36 ","27 ","27 ","36 ","18 ","18 ","9 ","18 ","18 ","27 ","27 ","18 ","18 ","18 ","27 ","27 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"2,421 ","2,034 ","1,755 ","1,674 ","1,566 ","1,467 ","1,395 ","1,332 ","1,323 ","1,215 ","1,233 ","1,197 ","1,098 ","1,116 ","1,008 ","954 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"500 ","440 ","360 ","340 ","330 ","290 ","290 ","250 ","260 ","280 ","280 ","250 ","230 ","230 ","210 ","220 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"44 ","44 ","33 ","33 ","22 ","33 ","22 ","22 ","33 ","22 ","22 ","11 ","22 ","22 ","22 ","22 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"22 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"410 ","390 ","330 ","310 ","260 ","270 ","270 ","260 ","210 ","200 ","190 ","240 ","180 ","180 ","180 ","210 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"1,917 ","1,584 ","1,512 ","1,359 ","1,278 ","1,197 ","1,089 ","891 ","855 ","864 ","801 ","774 ","747 ","648 ","657 ","630 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"561 ","407 ","418 ","396 ","385 ","374 ","341 ","286 ","264 ","264 ","264 ","275 ","308 ","286 ","264 ","253 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"1,050 ","915 ","825 ","840 ","795 ","795 ","675 ","690 ","615 ","585 ","570 ","585 ","585 ","555 ","540 ","540 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"1,440 ","1,260 ","1,125 ","1,005 ","945 ","885 ","885 ","885 ","825 ","795 ","825 ","825 ","825 ","780 ","780 ","750 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"455 ","442 ","429 ","442 ","377 ","390 ","364 ","351 ","338 ","312 ","312 ","325 ","338 ","338 ","325 ","312 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"952 ","700 ","602 ","630 ","644 ","602 ","560 ","518 ","448 ","448 ","406 ","420 ","406 ","406 ","406 ","406 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"28 ","28 ","28 ","28 ","28 ","14 ","28 ","28 ","28 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"4,368 ","3,372 ","2,988 ","2,892 ","2,700 ","2,556 ","2,436 ","2,472 ","2,376 ","2,292 ","2,268 ","2,160 ","2,040 ","2,004 ","1,908 ","1,788 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"90 ","80 ","70 ","70 ","50 ","40 ","40 ","40 ","40 ","40 ","40 ","40 ","40 ","40 ","30 ","40 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"18 ","18 ","18 ","18 ","18 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"60 ","40 ","50 ","50 ","50 ","20 ","30 ","30 ","40 ","30 ","30 ","40 ","30 ","20 ","20 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"14 ","14 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"22 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"234 ","225 ","189 ","171 ","171 ","162 ","153 ","144 ","135 ","126 ","135 ","126 ","126 ","117 ","99 ","117 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"84 ","84 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","56 ","70 ","56 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"84 ","72 ","48 ","48 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"18 ","18 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"45 ","27 ","36 ","18 ","18 ","18 ","18 ","18 ","9 ","9 ","9 ","9 ","9 ","9 ","18 ","18 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"171 ","162 ","135 ","126 ","126 ","117 ","117 ","117 ","117 ","108 ","108 ","108 ","108 ","108 ","108 ","99 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"171 ","153 ","117 ","117 ","117 ","99 ","99 ","99 ","108 ","108 ","99 ","90 ","108 ","108 ","108 ","108 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","14 ","14 ","28 ","28 ","28 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"42 ","42 ","42 ","42 ","42 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"18 ","18 ","18 ","9 ","9 ","9 ","18 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"208 ","195 ","169 ","169 ","156 ","143 ","156 ","143 ","156 ","143 ","156 ","117 ","117 ","117 ","104 ","104 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","28 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"14 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"70 ","60 ","60 ","40 ","40 ","30 ","30 ","40 ","30 ","40 ","40 ","40 ","30 ","30 ","30 ","30 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"150 ","150 ","120 ","120 ","120 ","120 ","105 ","75 ","30 ","45 ","60 ","45 ","45 ","60 ","45 ","60 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"1,390 ","1,060 ","880 ","860 ","750 ","690 ","660 ","610 ","560 ","590 ","570 ","540 ","520 ","520 ","510 ","460 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"224 ","154 ","112 ","126 ","126 ","112 ","98 ","84 ","84 ","70 ","70 ","70 ","70 ","70 ","56 ","56 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"299 ","221 ","195 ","208 ","182 ","182 ","182 ","195 ","182 ","156 ","143 ","143 ","143 ","143 ","143 ","130 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","12 ","12 ","12 ","12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"204 ","180 ","168 ","192 ","180 ","144 ","144 ","108 ","144 ","144 ","132 ","120 ","96 ","120 ","96 ","120 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"966 ","756 ","728 ","658 ","602 ","574 ","546 ","518 ","504 ","504 ","420 ","378 ","420 ","336 ","322 ","350 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"252 ","228 ","216 ","216 ","192 ","180 ","168 ","180 ","156 ","132 ","120 ","120 ","120 ","120 ","108 ","96 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"20 ","20 ","10 ","20 ","10 ","10 ","20 ","10 ","20 ","10 ","20 ","10 ","20 ","10 ","20 ","20 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"4,404 ","3,108 ","2,976 ","2,808 ","2,844 ","2,760 ","2,640 ","2,652 ","2,724 ","2,652 ","2,436 ","2,460 ","2,472 ","2,424 ","2,292 ","2,196 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"234 ","156 ","143 ","156 ","130 ","104 ","65 ","78 ","65 ","78 ","78 ","65 ","65 ","52 ","65 ","52 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"720 ","615 ","660 ","615 ","540 ","480 ","465 ","390 ","390 ","390 ","375 ","405 ","375 ","345 ","345 ","345 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
August-13,Saturn,"40 ","40 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","20 ","30 ","30 ","30 ","20 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
