Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
May-13,Venus,"156 ","156 ","130 ","104 ","104 ","104 ","104 ","91 ","104 ","104 ","104 ","104 ","104 ","91 ","78 ","78 ","91 ","91 ","91 ","0 ","0 ","0 ","0 "
May-13,Earth,"141,240 ","124,890 ","116,700 ","112,875 ","108,285 ","101,895 ","99,765 ","96,495 ","94,335 ","91,695 ","89,445 ","86,400 ","83,580 ","81,045 ","78,585 ","78,375 ","76,650 ","73,095 ","71,550 ","0 ","0 ","0 ","0 "
May-13,Earth,"14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Earth,"36,348 ","32,688 ","30,012 ","28,992 ","27,360 ","26,316 ","25,836 ","24,876 ","24,072 ","23,772 ","22,920 ","21,972 ","21,636 ","20,988 ","20,460 ","20,460 ","19,836 ","18,816 ","18,420 ","0 ","0 ","0 ","0 "
May-13,Earth,"10,755 ","9,570 ","8,730 ","8,145 ","7,665 ","7,320 ","7,080 ","6,930 ","6,765 ","6,675 ","6,495 ","6,285 ","6,090 ","5,865 ","5,760 ","5,625 ","5,430 ","5,085 ","4,980 ","0 ","0 ","0 ","0 "
May-13,Mars,"12,991 ","10,274 ","9,284 ","8,602 ","7,601 ","7,513 ","7,271 ","6,886 ","6,655 ","6,457 ","6,259 ","5,984 ","5,863 ","5,555 ","5,478 ","5,423 ","5,115 ","4,972 ","4,939 ","0 ","0 ","0 ","0 "
May-13,Mars,"4,257 ","3,586 ","2,915 ","2,794 ","2,497 ","2,552 ","2,475 ","2,299 ","2,211 ","2,145 ","2,035 ","1,925 ","1,958 ","1,859 ","1,859 ","1,859 ","1,672 ","1,683 ","1,639 ","0 ","0 ","0 ","0 "
May-13,Mars,"312 ","221 ","156 ","130 ","104 ","117 ","104 ","78 ","65 ","65 ","78 ","78 ","78 ","91 ","91 ","65 ","78 ","78 ","78 ","0 ","0 ","0 ","0 "
May-13,Jupiter,"11,208 ","9,312 ","8,628 ","7,944 ","7,392 ","7,380 ","7,092 ","6,960 ","6,768 ","6,540 ","6,420 ","6,132 ","5,868 ","5,664 ","5,592 ","5,496 ","5,208 ","5,004 ","4,872 ","0 ","0 ","0 ","0 "
May-13,Jupiter,"3,828 ","3,377 ","2,816 ","2,640 ","2,552 ","2,563 ","2,508 ","2,541 ","2,420 ","2,376 ","2,266 ","2,145 ","2,200 ","2,068 ","2,068 ","1,881 ","1,793 ","1,760 ","1,749 ","0 ","0 ","0 ","0 "
May-13,Jupiter,"143 ","121 ","110 ","99 ","77 ","77 ","66 ","88 ","44 ","44 ","33 ","33 ","33 ","44 ","33 ","33 ","33 ","44 ","33 ","0 ","0 ","0 ","0 "
